Club_name,Manager_ID,League_name,Stadium
Manchester City,4,Premier League,Etihad Stadium
Liverpool,19,Premier League,Anfield
Tottenham Hotspur,14,Premier League,Tottenham Hotspur Stadium
Chelsea,12,Premier League,Stamford Bridge
Manchester United,10,Premier League,Old Trafford
Arsenal,16,Premier League,Emirates Stadium
Everton,17,Premier League,Goodison Park
Leicester City,9,Premier League,King Power Stadium
Wolverhampton Wanderers,6,Premier League,Molineux Stadium
West Ham United,18,Premier League,London Stadium
Afc Bournemouth,1,Premier League,Vitality Stadium
Newcastle United,13,Premier League,St James' Park
Aston Villa,8,Premier League,Villa Park
Watford,15,Premier League,Vicarage Road
Brighton Amp Hove Albion,11,Premier League,AMEX Stadium
Southampton,20,Premier League,St Mary's Stadium
Crystal Palace,7,Premier League,Selhurst Park
Burnley,2,Premier League,Turf Moor
Sheffield United,3,Premier League,Bramall Lane
Norwich City,5,Premier League,Carrow Road
Juventus,28,Serie A,Allianz Stadium
Inter Milan,40,Serie A,San Siro
SSC Napoli,32,Serie A,Stadio San Paolo
Atlanta,21,Serie A,Gewiss Stadium
Bologna,39,Serie A,Stadio Renato Dall'Ara
Brescia,36,Serie A,Stadio Mario Rigamonti
Cagliari,38,Serie A,Sardegna Arena
Fiorentina,33,Serie A,Stadio Artemio Franchi
Genoa,34,Serie A,Stadio Luigi Ferraris
Hellas Verona,27,Serie A,Stadio Marc'Antonio Bentegodi
Lazio,22,Serie A,Stadio Olimpico
Lecce,24,Serie A,Stadio Via Del Mare 
Milan,29,Serie A,San Siro
Parma,23,Serie A,Stadio Ennio Tardini
Roma,26,Serie A,Stadio Olimpico
Sampordia,30,Serie A,Stadio Luigi Ferraris
Sassuolo,25,Serie A,Mapei Stadium
SPAL,37,Serie A,Stadio Paolo Mazza
Torino,35,Serie A,Stadio Olimpico Grande Torino
Udinese,31,Serie A,Stadio Friuli
Real Madrid,51,La Liga,Santiago Bernabéu
Barcelona,59,La Liga,Camp Nou
Atletico Madrid,60,La Liga,Wanda Metropolitano
Valencia,55,La Liga,Mestalla
Real Sociedad San Sebastian,49,La Liga,Reale Arena 
Sevilla,52,La Liga,Ramón Sánchez Pizjuan
Real Betis Sevilla,54,La Liga,Benito Villamarín
Athletic Bilbao,48,La Liga,San Mamés
Villarreal,50,La Liga,La Cerámica
Getafe,42,La Liga,Coliseum Alfonso Pérez
Celta Vigo,56,La Liga,Balaídos
Espanyol Barcelona,58,La Liga,RCDE Stadium
Deportivo Alaves,53,La Liga,Mendizorrotza
Ud Levante,44,La Liga,Ciutat de València
Cd Leganes,57,La Liga,Municipal de Butarque
Real Valladolid,45,La Liga,Estadio Nuevo José Zorrilla
Rcd Mallorca,43,La Liga,Son Moix
Ca Osasuna,46,La Liga,El Sadar
Sd Eibar,41,La Liga,Ipurua
Granada,47,La Liga,Nuevo Los Cármenes
