Home team,Away team,result,date
Athletic,FC Barcelona,1:0,16/08/19
Celta de Vigo,Real Madrid,1:3,16/08/19
Valencia,Real Sociedad,1:1,16/08/19
RCD Mallorca,SD Eibar,2:1,16/08/19
CD Leganés,CA Osasuna,0:1,16/08/19
Villarreal,Granada CF,4:4,16/08/19
Alavés,Levante,1:0,16/08/19
Espanyol,Sevilla FC,0:2,16/08/19
Real Betis,Real Valladolid,1:2,16/08/19
Atlético Madrid,Getafe,1:0,16/08/19
Granada CF,Sevilla FC,0:1,23/08/19
Levante,Villarreal,2:1,23/08/19
CA Osasuna,SD Eibar,0:0,23/08/19
Real Madrid,Real Valladolid,1:1,23/08/19
Celta de Vigo,Valencia,1:0,23/08/19
Getafe,Athletic,1:1,23/08/19
Alavés,Espanyol,0:0,23/08/19
RCD Mallorca,Real Sociedad,0:1,23/08/19
CD Leganés,Atlético Madrid,0:1,23/08/19
FC Barcelona,Real Betis,5:2,23/08/19
Sevilla FC,Celta de Vigo,1:1,31/08/19
Athletic,Real Sociedad,2:0,31/08/19
CA Osasuna,FC Barcelona,2:2,31/08/19
Getafe,Alavés,1:1,31/08/19
Levante,Real Valladolid,2:0,31/08/19
Real Betis,CD Leganés,2:1,31/08/19
Valencia,RCD Mallorca,2:0,31/08/19
Atlético Madrid,SD Eibar,3:2,31/08/19
Espanyol,Granada CF,0:3,31/08/19
Villarreal,Real Madrid,2:2,31/08/19
RCD Mallorca,Athletic,0:0,13/09/19
Real Madrid,Levante,3:2,13/09/19
CD Leganés,Villarreal,0:3,13/09/19
Real Sociedad,Atlético Madrid,2:0,13/09/19
FC Barcelona,Valencia,5:2,13/09/19
SD Eibar,Espanyol,1:2,13/09/19
Alavés,Sevilla FC,0:1,13/09/19
Celta de Vigo,Granada CF,0:2,13/09/19
Real Valladolid,CA Osasuna,1:1,13/09/19
Real Betis,Getafe,1:1,13/09/19
CA Osasuna,Real Betis,0:0,20/09/19
Villarreal,Real Valladolid,2:0,20/09/19
Levante,SD Eibar,0:0,20/09/19
Atlético Madrid,Celta de Vigo,0:0,20/09/19
Granada CF,FC Barcelona,2:0,20/09/19
Getafe,RCD Mallorca,4:2,20/09/19
