Home team,Away team,result
Athletic,FC Barcelona, 1:0 
Celta de Vigo,Real Madrid, 1:3 
Valencia,Real Sociedad, 1:1 
RCD Mallorca,SD Eibar, 2:1 
CD Leganés,CA Osasuna, 0:1 
Villarreal,Granada CF, 4:4 
Alavés,Levante, 1:0 
Espanyol,Sevilla FC, 0:2 
Real Betis,Real Valladolid, 1:2 
Atlético Madrid,Getafe, 1:0 
Granada CF,Sevilla FC, 0:1 
Levante,Villarreal, 2:1 
CA Osasuna,SD Eibar, 0:0 
Real Madrid,Real Valladolid, 1:1 
Celta de Vigo,Valencia, 1:0 
Getafe,Athletic, 1:1 
Alavés,Espanyol, 0:0 
RCD Mallorca,Real Sociedad, 0:1 
CD Leganés,Atlético Madrid, 0:1 
FC Barcelona,Real Betis, 5:2 
Sevilla FC,Celta de Vigo, 1:1 
Athletic,Real Sociedad, 2:0 
CA Osasuna,FC Barcelona, 2:2 
Getafe,Alavés, 1:1 
Levante,Real Valladolid, 2:0 
Real Betis,CD Leganés, 2:1 
Valencia,RCD Mallorca, 2:0 
Atlético Madrid,SD Eibar, 3:2 
Espanyol,Granada CF, 0:3 
Villarreal,Real Madrid, 2:2 
RCD Mallorca,Athletic, 0:0 
Real Madrid,Levante, 3:2 
CD Leganés,Villarreal, 0:3 
Real Sociedad,Atlético Madrid, 2:0 
FC Barcelona,Valencia, 5:2 
SD Eibar,Espanyol, 1:2 
Alavés,Sevilla FC, 0:1 
Celta de Vigo,Granada CF, 0:2 
Real Valladolid,CA Osasuna, 1:1 
Real Betis,Getafe, 1:1 
CA Osasuna,Real Betis, 0:0 
Villarreal,Real Valladolid, 2:0 
Levante,SD Eibar, 0:0 
Atlético Madrid,Celta de Vigo, 0:0 
Granada CF,FC Barcelona, 2:0 
Getafe,RCD Mallorca, 4:2 
Espanyol,Real Sociedad, 1:3 
Valencia,CD Leganés, 1:1 
Athletic,Alavés, 2:0 
Sevilla FC,Real Madrid, 0:1 
Real Valladolid,Granada CF, 1:1 
Real Betis,Levante, 3:1 
FC Barcelona,Villarreal, 2:1 
CD Leganés,Athletic, 1:1 
RCD Mallorca,Atlético Madrid, 0:2 
Valencia,Getafe, 3:3 
Real Madrid,CA Osasuna, 2:0 
SD Eibar,Sevilla FC, 3:2 
Celta de Vigo,Espanyol, 1:1 
Real Sociedad,Alavés, 3:0 
Villarreal,Real Betis, 5:1 
Athletic,Valencia, 0:1 
Getafe,FC Barcelona, 0:2 
Granada CF,CD Leganés, 1:0 
Atlético Madrid,Real Madrid, 0:0 
Espanyol,Real Valladolid, 0:2 
SD Eibar,Celta de Vigo, 2:0 
Alavés,RCD Mallorca, 2:0 
Levante,CA Osasuna, 1:1 
Sevilla FC,Real Sociedad, 3:2 
Real Betis,SD Eibar, 1:1 
CD Leganés,Levante, 1:2 
Real Madrid,Granada CF, 4:2 
Valencia,Alavés, 2:1 
CA Osasuna,Villarreal, 2:1 
RCD Mallorca,Espanyol, 2:0 
Celta de Vigo,Athletic, 1:0 
Real Valladolid,Atlético Madrid, 0:0 
Real Sociedad,Getafe, 1:2 
FC Barcelona,Sevilla FC, 4:0 
Granada CF,CA Osasuna, 1:0 
SD Eibar,FC Barcelona, 0:3 
Atlético Madrid,Valencia, 1:1 
Getafe,CD Leganés, 2:0 
RCD Mallorca,Real Madrid, 1:0 
Alavés,Celta de Vigo, 2:0 
Real Sociedad,Real Betis, 3:1 
Espanyol,Villarreal, 0:1 
Athletic,Real Valladolid, 1:1 
Sevilla FC,Levante, 1:0 
Villarreal,Alavés, 4:1 
CD Leganés,RCD Mallorca, 1:0 
Real Valladolid,SD Eibar, 2:0 
Atlético Madrid,Athletic, 2:0 
Celta de Vigo,Real Sociedad, 0:1 
Granada CF,Real Betis, 1:0 
Levante,Espanyol, 0:1 
Sevilla FC,Getafe, 2:0 
CA Osasuna,Valencia, 3:1 
FC Barcelona,Real Madrid, 0:0 
Alavés,Atlético Madrid, 1:1 
