Home team,Away team,result,date
Liverpool,Norwich, 4:1 ,09/08/19
West Ham,Man City, 0:5 ,09/08/19
Crystal Palace,Everton, 0:0 ,09/08/19
Watford,Brighton, 0:3 ,09/08/19
Burnley,Southampton, 3:0 ,09/08/19
Bournemouth,Sheffield Utd., 1:1 ,09/08/19
Spurs,Aston Villa, 3:1 ,09/08/19
Newcastle,Arsenal, 0:1 ,09/08/19
Leicester,Wolves, 0:0 ,09/08/19
Man Utd,Chelsea, 4:0 ,09/08/19
Norwich,Newcastle, 3:1 ,17/08/19
Arsenal,Burnley, 2:1 ,17/08/19
Southampton,Liverpool, 1:2 ,17/08/19
Brighton,West Ham, 1:1 ,17/08/19
Aston Villa,Bournemouth, 1:2 ,17/08/19
Everton,Watford, 1:0 ,17/08/19
Man City,Spurs, 2:2 ,17/08/19
Sheffield Utd.,Crystal Palace, 1:0 ,17/08/19
Chelsea,Leicester, 1:1 ,17/08/19
Wolves,Man Utd, 1:1 ,17/08/19
Aston Villa,Everton, 2:0 ,23/08/19
Norwich,Chelsea, 2:3 ,23/08/19
Watford,West Ham, 1:3 ,23/08/19
Sheffield Utd.,Leicester, 1:2 ,23/08/19
Brighton,Southampton, 0:2 ,23/08/19
Man Utd,Crystal Palace, 1:2 ,23/08/19
Liverpool,Arsenal, 3:1 ,23/08/19
Bournemouth,Man City, 1:3 ,23/08/19
Spurs,Newcastle, 0:1 ,23/08/19
Wolves,Burnley, 1:1 ,23/08/19
Southampton,Man Utd, 1:1 ,31/08/19
West Ham,Norwich, 2:0 ,31/08/19
Newcastle,Watford, 1:1 ,31/08/19
Man City,Brighton, 4:0 ,31/08/19
Chelsea,Sheffield Utd., 2:2 ,31/08/19
Crystal Palace,Aston Villa, 1:0 ,31/08/19
Leicester,Bournemouth, 3:1 ,31/08/19
Burnley,Liverpool, 0:3 ,31/08/19
Everton,Wolves, 3:2 ,31/08/19
Arsenal,Spurs, 2:2 ,31/08/19
Liverpool,Newcastle, 3:1 ,14/09/19
Spurs,Crystal Palace, 4:0 ,14/09/19
Sheffield Utd.,Southampton, 0:1 ,14/09/19
Wolves,Chelsea, 2:5 ,14/09/19
Brighton,Burnley, 1:1 ,14/09/19
Man Utd,Leicester, 1:0 ,14/09/19
Norwich,Man City, 3:2 ,14/09/19
Bournemouth,Everton, 3:1 ,14/09/19
Watford,Arsenal, 2:2 ,14/09/19
Aston Villa,West Ham, 0:0 ,14/09/19
Southampton,Bournemouth, 1:3 ,20/09/19
Leicester,Spurs, 2:1 ,20/09/19
Man City,Watford, 8:0 ,20/09/19
Burnley,Norwich, 2:0 ,20/09/19
Everton,Sheffield Utd., 0:2 ,20/09/19
Newcastle,Brighton, 0:0 ,20/09/19
West Ham,Man Utd, 2:0 ,20/09/19
Crystal Palace,Wolves, 1:1 ,20/09/19
Chelsea,Liverpool, 1:2 ,20/09/19
Arsenal,Aston Villa, 3:2 ,20/09/19
Sheffield Utd.,Liverpool, 0:1 ,28/09/19
Wolves,Watford, 2:0 ,28/09/19
Spurs,Southampton, 2:1 ,28/09/19
Chelsea,Brighton, 2:0 ,28/09/19
Bournemouth,West Ham, 2:2 ,28/09/19
Crystal Palace,Norwich, 2:0 ,28/09/19
Aston Villa,Burnley, 2:2 ,28/09/19
Everton,Man City, 1:3 ,28/09/19
Leicester,Newcastle, 5:0 ,28/09/19
Man Utd,Arsenal, 1:1 ,28/09/19
Brighton,Spurs, 3:0 ,05/10/19
Watford,Sheffield Utd., 0:0 ,05/10/19
Norwich,Aston Villa, 1:5 ,05/10/19
