"Home team","Away team","result","date"
"Liverpool","Norwich"," 4:1 ",09/08/19
"West Ham","Man City"," 0:5 ",09/08/19
"Crystal Palace","Everton"," 0:0 ",09/08/19
"Watford","Brighton"," 0:3 ",09/08/19
"Burnley","Southampton"," 3:0 ",09/08/19
"Bournemouth","Sheffield Utd."," 1:1 ",09/08/19
"Spurs","Aston Villa"," 3:1 ",09/08/19
"Newcastle","Arsenal"," 0:1 ",09/08/19
"Leicester","Wolves"," 0:0 ",09/08/19
"Man Utd","Chelsea"," 4:0 ",09/08/19
"Norwich","Newcastle"," 3:1 ",
"Arsenal","Burnley"," 2:1 ",
"Southampton","Liverpool"," 1:2 ",
"Brighton","West Ham"," 1:1 ",
"Aston Villa","Bournemouth"," 1:2 ",
"Everton","Watford"," 1:0 ",
"Man City","Spurs"," 2:2 ",
"Sheffield Utd.","Crystal Palace"," 1:0 ",
"Chelsea","Leicester"," 1:1 ",
"Wolves","Man Utd"," 1:1 ",
"Aston Villa","Everton"," 2:0 ",
"Norwich","Chelsea"," 2:3 ",
"Watford","West Ham"," 1:3 ",
"Sheffield Utd.","Leicester"," 1:2 ",
"Brighton","Southampton"," 0:2 ",
"Man Utd","Crystal Palace"," 1:2 ",
"Liverpool","Arsenal"," 3:1 ",
"Bournemouth","Man City"," 1:3 ",
"Spurs","Newcastle"," 0:1 ",
"Wolves","Burnley"," 1:1 ",
"Southampton","Man Utd"," 1:1 ",
"West Ham","Norwich"," 2:0 ",
"Newcastle","Watford"," 1:1 ",
"Man City","Brighton"," 4:0 ",
"Chelsea","Sheffield Utd."," 2:2 ",
"Crystal Palace","Aston Villa"," 1:0 ",
"Leicester","Bournemouth"," 3:1 ",
"Burnley","Liverpool"," 0:3 ",
"Everton","Wolves"," 3:2 ",
"Arsenal","Spurs"," 2:2 ",
"Liverpool","Newcastle"," 3:1 ",
"Spurs","Crystal Palace"," 4:0 ",
"Sheffield Utd.","Southampton"," 0:1 ",
"Wolves","Chelsea"," 2:5 ",
"Brighton","Burnley"," 1:1 ",
"Man Utd","Leicester"," 1:0 ",
"Norwich","Man City"," 3:2 ",
"Bournemouth","Everton"," 3:1 ",
"Watford","Arsenal"," 2:2 ",
"Aston Villa","West Ham"," 0:0 ",
"Southampton","Bournemouth"," 1:3 ",
"Leicester","Spurs"," 2:1 ",
"Man City","Watford"," 8:0 ",
"Burnley","Norwich"," 2:0 ",
"Everton","Sheffield Utd."," 0:2 ",
"Newcastle","Brighton"," 0:0 ",
"West Ham","Man Utd"," 2:0 ",
"Crystal Palace","Wolves"," 1:1 ",
"Chelsea","Liverpool"," 1:2 ",
"Arsenal","Aston Villa"," 3:2 ",
"Sheffield Utd.","Liverpool"," 0:1 ",
"Wolves","Watford"," 2:0 ",
"Spurs","Southampton"," 2:1 ",
"Chelsea","Brighton"," 2:0 ",
"Bournemouth","West Ham"," 2:2 ",
"Crystal Palace","Norwich"," 2:0 ",
"Aston Villa","Burnley"," 2:2 ",
"Everton","Man City"," 1:3 ",
"Leicester","Newcastle"," 5:0 ",
"Man Utd","Arsenal"," 1:1 ",
"Brighton","Spurs"," 3:0 ",
"Watford","Sheffield Utd."," 0:0 ",
"Norwich","Aston Villa"," 1:5 ",
"Liverpool","Leicester"," 2:1 ",
"Burnley","Everton"," 1:0 ",
"West Ham","Crystal Palace"," 1:2 ",
"Southampton","Chelsea"," 1:4 ",
"Arsenal","Bournemouth"," 1:0 ",
"Man City","Wolves"," 0:2 ",
"Newcastle","Man Utd"," 1:0 ",
"Everton","West Ham"," 2:0 ",
