Home team,Away team,result
Parma,Juventus, 0:1 
Fiorentina,SSC Napoli, 3:4 
Udinese Calcio,AC Milan, 1:0 
Cagliari Calcio,Brescia, 0:1 
Hellas Verona,Bologna, 1:1 
AS Roma,Genoa, 3:3 
Sampdoria,Lazio, 0:3 
SPAL,Atalanta, 2:3 
Torino,Sassuolo, 2:1 
Inter,Lecce, 4:0 
Bologna,SPAL, 1:0 
AC Milan,Brescia, 1:0 
Juventus,SSC Napoli, 4:3 
Lazio,AS Roma, 1:1 
Udinese Calcio,Parma, 1:3 
Atalanta,Torino, 2:3 
Cagliari Calcio,Inter, 1:2 
Genoa,Fiorentina, 2:1 
Lecce,Hellas Verona, 0:1 
Sassuolo,Sampdoria, 4:1 
Fiorentina,Juventus, 0:0 
SSC Napoli,Sampdoria, 2:0 
Inter,Udinese Calcio, 1:0 
Genoa,Atalanta, 1:2 
Brescia,Bologna, 3:4 
Parma,Cagliari Calcio, 1:3 
SPAL,Lazio, 2:1 
AS Roma,Sassuolo, 4:2 
Hellas Verona,AC Milan, 0:1 
Torino,Lecce, 1:2 
Cagliari Calcio,Genoa, 3:1 
Udinese Calcio,Brescia, 0:1 
Juventus,Hellas Verona, 2:1 
AC Milan,Inter, 0:2 
Sassuolo,SPAL, 3:0 
Bologna,AS Roma, 1:2 
Lecce,SSC Napoli, 1:4 
Sampdoria,Torino, 1:0 
Atalanta,Fiorentina, 2:2 
Lazio,Parma, 2:0 
Hellas Verona,Udinese Calcio, 0:0 
Brescia,Juventus, 1:2 
AS Roma,Atalanta, 0:2 
Fiorentina,Sampdoria, 2:1 
Genoa,Bologna, 0:0 
Inter,Lazio, 1:0 
SSC Napoli,Cagliari Calcio, 0:1 
Parma,Sassuolo, 1:0 
SPAL,Lecce, 1:3 
Torino,AC Milan, 2:1 
Juventus,SPAL, 2:0 
Sampdoria,Inter, 1:3 
Sassuolo,Atalanta, 1:4 
SSC Napoli,Brescia, 2:1 
Lazio,Genoa, 4:0 
Lecce,AS Roma, 0:1 
Udinese Calcio,Bologna, 1:0 
Cagliari Calcio,Hellas Verona, 1:1 
AC Milan,Fiorentina, 1:3 
Parma,Torino, 3:2 
SPAL,Parma, 1:0 
Hellas Verona,Sampdoria, 2:0 
Genoa,AC Milan, 1:2 
Fiorentina,Udinese Calcio, 1:0 
Atalanta,Lecce, 3:1 
Bologna,Lazio, 2:2 
AS Roma,Cagliari Calcio, 1:1 
Torino,SSC Napoli, 0:0 
Inter,Juventus, 1:2 
Brescia,Sassuolo, 0:2 
Lazio,Atalanta, 3:3 
SSC Napoli,Hellas Verona, 2:0 
Juventus,Bologna, 2:1 
Sassuolo,Inter, 3:4 
Cagliari Calcio,SPAL, 2:0 
Sampdoria,AS Roma, 0:0 
Udinese Calcio,Torino, 1:0 
Parma,Genoa, 5:1 
AC Milan,Lecce, 2:2 
Brescia,Fiorentina, 0:0 
Hellas Verona,Sassuolo, 0:1 
Lecce,Juventus, 1:1 
Inter,Parma, 2:2 
Genoa,Brescia, 3:1 
Bologna,Sampdoria, 2:1 
Atalanta,Udinese Calcio, 7:1 
SPAL,SSC Napoli, 1:1 
Torino,Cagliari Calcio, 1:1 
AS Roma,AC Milan, 2:1 
Fiorentina,Lazio, 1:2 
Parma,Hellas Verona, 0:1 
Brescia,Inter, 1:2 
SSC Napoli,Atalanta, 2:2 
Cagliari Calcio,Bologna, 3:2 
Juventus,Genoa, 2:1 
Lazio,Torino, 4:0 
Sampdoria,Lecce, 1:1 
Sassuolo,Fiorentina, 1:2 
