"Player_ID","Games_Played","Goals","Assists","Yellow_cards","Red_cards"
1,25,24,10,3,1
2,4,7,1,0,0
3,0,0,0,0,0
4,7,0,0,1,0
5,12,0,0,0,0
6,19,2,0,3,0
7,0,0,0,0,0
8,14,0,2,2,0
9,12,0,0,0,0
10,21,1,2,4,0
11,11,0,0,2,0
12,26,3,1,7,0
13,23,0,0,6,0
14,25,2,1,7,0
15,14,0,1,0,0
16,26,8,17,2,0
17,19,3,7,0,0
18,0,0,0,0,0
19,1,0,0,0,0
20,24,5,5,5,0
21,23,7,10,0,0
22,24,10,5,2,0
23,22,16,3,1,0
24,20,11,12,0,1
25,11,10,2,1,0
26,0,0,0,0,0
27,0,0,0,0,0
28,29,4,1,1,0
29,19,0,0,3,0
30,8,1,0,0,0
31,9,0,1,1,0
32,28,1,7,1,0
33,0,0,0,0,0
34,20,1,1,5,0
35,28,3,0,0,0
36,9,1,1,1,0
37,25,3,5,1,0
38,21,3,0,1,0
39,18,2,2,3,0
40,14,9,5,1,0
41,15,1,1,1,0
42,26,14,9,2,0
43,3,0,0,0,0
44,26,16,6,1,0
45,6,1,0,0,0
46,29,8,7,0,0
47,22,3,3,0,0
48,12,14,2,0,0
49,18,26,2,1,0
50,0,0,0,0,0
51,0,0,0,0,0
52,22,0,0,5,0
53,27,1,2,4,0
54,19,1,1,2,0
55,4,0,0,1,0
56,6,0,0,1,0
57,9,0,0,2,0
58,24,1,4,1,0
59,14,0,2,4,0
60,4,0,0,0,0
61,19,2,2,2,0
62,19,0,0,5,0
63,23,0,0,8,0
64,20,2,1,6,0
65,4,0,0,0,0
66,6,0,0,0,0
67,22,8,3,2,0
68,21,9,8,0,2
69,5,2,0,1,0
70,27,4,2,2,0
71,17,2,3,3,0
72,20,11,2,2,0
73,3,0,0,0,0
74,4,6,1,1,0
75,25,32,6,0,0
76,4,7,0,0,0
77,13,2,0,3,0
78,22,0,0,5,0
79,15,0,0,5,0
80,15,1,0,3,0
81,14,0,0,3,0
82,11,4,3,3,0
83,27,2,3,0,0
84,17,0,2,1,0
85,26,4,2,10,0
86,18,3,0,3,0
87,25,1,3,7,0
88,0,0,0,0,0
89,13,0,3,0,0
90,3,0,0,0,0
91,8,0,0,1,0
92,8,0,0,1,0
93,29,6,5,3,0
94,17,1,4,1,0
95,16,5,2,0,0
96,28,5,5,3,0
97,9,1,1,1,0
98,25,13,4,2,0
99,16,1,1,0,0
100,9,2,0,0,0
101,11,5,4,0,0
102,0,0,0,0,0
103,29,30,8,2,0
104,0,0,0,0,0
105,0,0,0,0,0
106,29,1,1,4,0
107,26,1,0,5,0
108,2,0,0,0,0
109,5,0,0,0,0
110,2,0,0,0,0
111,0,0,0,0,0
112,12,1,0,5,0
113,26,0,2,5,0
114,4,0,0,0,0
115,2,0,0,0,0
116,12,0,1,1,0
117,7,0,2,0,0
118,20,4,1,2,0
119,25,0,0,7,0
120,5,2,3,1,0
121,23,1,3,3,0
122,17,0,2,1,0
123,27,3,6,3,0
124,20,0,0,3,0
125,3,0,0,0,0
126,22,14,4,2,0
127,23,11,3,1,0
128,22,5,0,0,0
129,4,0,0,0,0
130,28,36,7,2,0
131,0,0,0,0,0
132,5,11,0,0,0
133,19,2,0,6,0
134,8,0,1,0,0
135,25,2,1,4,1
136,2,0,0,0,0
137,1,0,0,0,0
138,5,0,0,1,0
139,17,0,2,3,0
140,8,1,0,2,0
141,14,1,1,5,0
142,16,0,1,1,0
143,24,1,1,4,0
144,22,0,1,7,0
145,22,0,2,6,0
146,14,0,2,0,0
147,19,0,0,1,0
148,14,0,2,3,0
149,18,0,3,4,0
150,18,1,2,1,0
151,24,4,6,3,0
152,11,0,0,1,0
153,26,17,1,3,1
154,20,7,3,5,0
155,14,3,0,1,0
156,5,1,0,0,0
157,29,46,6,1,0
158,0,0,0,0,0
159,22,1,0,0,0
160,25,2,1,3,0
161,23,0,3,4,0
162,26,0,6,2,0
163,5,0,0,0,0
164,21,0,4,3,0
165,18,0,1,4,0
166,0,0,0,0,0
167,2,0,0,0,0
168,15,0,0,4,0
169,11,0,0,6,0
170,21,1,0,7,0
171,16,0,0,3,0
172,0,0,0,0,0
173,26,1,2,3,0
174,27,10,3,5,0
175,18,1,0,0,0
176,19,4,2,2,0
177,22,1,2,1,0
178,27,13,1,7,0
179,23,1,2,0,0
180,10,2,0,0,0
181,3,0,0,0,0
182,9,6,2,0,0
183,29,28,10,2,0
184,0,0,0,0,0
185,2,1,1,0,0
186,28,1,1,4,0
187,29,1,2,5,0
188,11,0,0,2,0
189,8,0,0,0,0
190,23,2,3,2,0
191,8,0,0,0,0
192,28,3,2,1,0
193,4,0,1,0,0
194,23,2,1,3,0
195,16,1,1,2,0
196,1,0,0,0,0
197,5,0,0,0,0
198,28,3,5,1,0
199,21,1,2,2,0
200,1,0,0,0,0
201,14,0,3,1,0
202,0,0,0,0,0
203,28,6,3,4,0
204,2,0,1,0,0
205,14,1,1,1,0
206,25,7,4,0,0
207,26,19,4,2,0
208,0,0,0,0,0
209,29,34,8,0,0
210,0,0,0,0,0
211,13,0,1,1,0
212,29,0,0,3,0
213,3,0,0,0,0
214,26,1,1,4,0
215,13,0,0,1,0
216,27,4,2,1,0
217,29,2,1,7,0
218,29,2,0,4,0
219,25,2,1,8,0
220,29,1,6,5,0
221,4,0,0,0,0
222,5,0,0,0,0
223,0,0,0,0,0
224,2,0,0,0,0
225,25,6,1,3,0
226,4,0,0,0,0
227,28,4,7,0,0
228,21,2,2,2,0
229,29,13,6,3,0
230,0,0,0,0,0
231,2,0,0,0,0
232,12,0,1,1,0
233,16,22,5,1,0
234,2,5,0,0,0
235,5,6,2,1,0
236,23,3,0,8,0
237,13,1,0,2,0
238,24,2,0,4,0
239,0,0,0,0,0
240,23,3,0,7,0
241,15,0,1,3,0
242,20,0,2,5,0
243,10,0,0,2,0
244,29,0,2,5,0
245,4,0,0,0,0
246,6,0,0,0,0
247,26,4,1,4,0
248,6,0,0,0,0
249,19,0,3,0,0
250,27,2,5,2,0
251,22,1,4,1,0
252,4,1,0,0,0
253,15,2,2,1,0
254,24,5,5,4,0
255,27,7,2,1,0
256,8,0,0,0,0
257,28,44,4,0,0
258,0,0,0,0,0
259,1,3,0,0,0
260,23,2,1,1,0
261,22,1,0,4,1
262,11,1,0,1,0
263,4,0,0,0,0
264,21,0,2,6,0
265,0,0,0,0,0
266,2,0,0,0,0
267,18,0,1,6,0
268,12,0,2,2,0
269,15,0,0,3,0
270,24,1,2,9,0
271,20,0,0,3,0
272,27,1,1,7,0
273,16,2,1,1,0
274,5,0,0,1,0
275,0,0,0,0,0
276,28,1,4,2,0
277,9,0,0,0,0
278,6,0,0,0,0
279,23,6,0,1,0
280,2,0,0,0,0
281,19,4,2,0,0
282,28,8,1,8,0
283,24,0,0,1,0
284,1,0,0,0,0
285,29,41,9,0,0
286,0,0,0,0,0
287,0,0,0,0,0
288,19,1,0,2,0
289,18,2,0,4,0
290,23,2,1,4,0
291,14,2,0,2,0
292,6,2,0,0,0
293,17,0,0,6,0
294,16,0,0,2,0
295,19,2,2,0,0
296,12,1,0,3,0
297,11,0,0,0,0
298,13,0,1,4,0
299,12,1,2,1,0
300,24,1,1,4,1
301,7,2,0,1,0
302,21,0,1,2,1
303,17,5,0,2,0
304,3,0,0,2,0
305,4,0,0,0,1
306,10,0,0,3,0
307,28,2,1,5,0
308,18,2,2,0,0
309,18,0,3,2,0
310,29,1,2,6,0
311,12,0,1,1,0
312,7,0,0,0,0
313,13,0,4,1,0
314,20,35,4,0,0
315,1,0,1,0,0
316,3,8,1,0,0
317,6,13,0,1,0
318,14,18,6,0,0
319,23,2,1,5,0
320,17,1,0,1,0
321,15,0,2,1,0
322,11,0,0,2,0
323,20,1,2,3,0
324,10,0,0,2,0
325,23,0,2,7,0
326,12,0,1,0,0
327,21,0,0,4,0
328,26,3,2,4,0
329,18,3,2,2,0
330,18,3,2,4,0
331,5,0,0,1,0
332,9,0,0,0,0
333,26,7,6,7,0
334,24,3,2,2,0
335,25,4,4,3,0
336,8,0,1,0,0
337,21,5,1,3,0
338,4,1,0,0,0
339,2,0,0,0,0
340,8,0,0,0,0
341,29,44,9,1,0
342,0,0,0,0,0
343,2,5,0,0,0
344,19,0,1,1,1
345,20,0,0,4,0
346,27,0,0,6,0
347,15,0,0,2,0
348,10,1,0,2,0
349,17,1,0,3,0
350,12,0,0,5,0
351,19,0,0,5,0
352,8,0,1,1,0
